id,free_income,loan_ammount_monthly_payment,recomended_loan_term,loan_term_in_years,credit_limit,minimum_interest_loan_40%,maximum_interest_loan_78%
0,2924054.0,1462027.0,1100.0,91.66666666666667,1608229700.0,44628374.175000004,87112442.08333334
6,9232.0,4616.0,52.800000000000004,4.4,243724.80000000002,6763.363200000001,13201.760000000002
12,179553.0,89776.5,14.3,1.1916666666666667,1283803.95,35625.5596125,69539.380625
24,1346792.0,673396.0,990.0000000000001,82.50000000000001,666662040.0000001,18499871.610000003,36110860.50000001
27,2161672.0,1080836.0,52.800000000000004,4.4,57068140.800000004,1583640.9072000002,3091190.9600000004
31,21216.0,10608.0,52.800000000000004,4.4,560102.4,15542.841600000002,30338.880000000005
37,110645.0,55322.5,396.00000000000006,33.00000000000001,21907710.000000004,607938.9525000001,1186667.6250000002
43,183330.0,91665.0,39.6,3.3000000000000003,3629934.0,100730.6685,196621.42500000002
47,10296444.0,5148222.0,396.00000000000006,33.00000000000001,2038695912.0000002,56573811.55800001,110429361.90000002
48,107440.0,53720.0,396.00000000000006,33.00000000000001,21273120.000000004,590329.0800000002,1152294.0000000002
54,57076.0,28538.0,396.00000000000006,33.00000000000001,11301048.000000002,313604.0820000001,612140.1000000002
64,162854.0,81427.0,39.6,3.3000000000000003,3224509.2,89480.13030000002,174660.91500000004
72,177482.0,88741.0,65.45,5.454166666666667,5808098.45,161174.7319875,314605.3327083333
81,4205464.0,2102732.0,1100.0,91.66666666666667,2313005200.0,64185894.300000004,125287781.66666667
87,2183820.0,1091910.0,39.6,3.3000000000000003,43239636.0,1199899.8990000002,2342146.95
90,840824.0,420412.0,66.0,5.5,27747192.0,769984.5780000001,1502972.9000000001
94,153694.0,76847.0,132.0,11.0,10143804.0,281490.561,549456.05
103,355370154.0,177685077.0,396.00000000000006,33.00000000000001,70363290492.00002,1952581311.1530004,3811344901.6500006
108,159348.0,79674.0,1.1,0.09166666666666667,87641.40000000001,2432.0488500000006,4747.2425
109,187370.0,93685.0,1.1,0.09166666666666667,103053.50000000001,2859.7346250000005,5582.064583333335
123,2789488.0,1394744.0,33.0,2.75,46026552.0,1277236.818,2493104.9
129,1797674.0,898837.0,99.00000000000001,8.250000000000002,88984863.00000001,2469329.948250001,4820013.4125000015
139,609346.0,304673.0,39.6,3.3000000000000003,12065050.8,334805.1597,653523.5850000001
149,1381864.0,690932.0,39.6,3.3000000000000003,27360907.2,759265.1748,1482049.1400000001
160,83026.0,41513.0,78.65,6.554166666666667,3264997.45,90603.67923750001,176854.0285416667
172,5755.0,2877.5,174.9,14.575000000000001,503274.75,13965.8743125,27260.715625
173,34724.0,17362.0,132.0,11.0,2291784.0,63597.006,124138.3
178,177688.0,88844.0,66.0,5.5,5863704.0,162717.78600000002,317617.3
183,1165775.0,582887.5,66.0,5.5,38470575.0,1067558.45625,2083822.8125
188,168428.0,84214.0,1.1,0.09166666666666667,92635.40000000001,2570.6323500000003,5017.750833333334
192,265248.0,132624.0,1.1,0.09166666666666667,145886.40000000002,4048.3476000000005,7902.18
195,3130.0,1565.0,66.0,5.5,103290.0,2866.2975,5594.875
203,193268.0,96634.0,396.00000000000006,33.00000000000001,38267064.00000001,1061911.0260000003,2072799.3000000003
212,340662.0,170331.0,80.30000000000001,6.691666666666667,13677579.300000003,379552.8255750001,740868.8787500001
215,468211.0,234105.5,14.3,1.1916666666666667,3347708.6500000004,92898.9150375,181334.21854166666
236,1242883.0,621441.5,39.6,3.3000000000000003,24609083.400000002,682902.0643500001,1332992.0175
250,161964.0,80982.0,52.800000000000004,4.4,4275849.600000001,118654.82640000002,231608.52000000005
266,2653762.0,1326881.0,39.6,3.3000000000000003,52544487.6,1458109.5309000004,2846159.7450000006
296,196624.0,98312.0,79.2,6.6000000000000005,7786310.4,216070.11360000004,421758.48000000004
305,27197756.0,13598878.0,198.00000000000003,16.500000000000004,2692577844.0000005,74719035.17100002,145847966.55000004
312,2747669.0,1373834.5,132.0,11.0,181346154.0,5032355.7735,9822916.675
320,422698.0,211349.0,396.00000000000006,33.00000000000001,83694204.00000001,2322514.161000001,4533436.050000002
329,3271.0,1635.5,1.1,0.09166666666666667,1799.0500000000002,49.923637500000005,97.44854166666669
342,9357293.0,4678646.5,264.0,22.0,1235162676.0,34275764.259,66904644.95
345,929214.0,464607.0,52.800000000000004,4.4,24531249.6,680742.1764000001,1328776.0200000003
355,13433872.0,6716936.0,396.00000000000006,33.00000000000001,2659906656.0000005,73812409.70400003,144078277.20000005
365,1519332.0,759666.0,343.20000000000005,28.600000000000005,260717371.20000005,7234907.050800002,14122190.940000003
384,9792.0,4896.0,10.450000000000001,0.8708333333333335,51163.200000000004,1419.7788000000003,2771.34
419,413941.0,206970.5,20.900000000000002,1.741666666666667,4325683.45,120037.71573750002,234307.85354166673
420,59436.0,29718.0,39.6,3.3000000000000003,1176832.8,32657.110200000006,63745.11000000001
433,76578.0,38289.0,65.45,5.454166666666667,2506015.0500000003,69541.9176375,135742.481875
442,6663904.0,3331952.0,396.00000000000006,33.00000000000001,1319452992.0000002,36614820.52800001,71470370.40000002
457,13034914.0,6517457.0,990.0000000000001,82.50000000000001,6452282430.000001,179050837.43250006,349498631.6250001
458,47136.0,23568.0,66.0,5.5,1555488.0,43164.792,84255.6
461,29966.0,14983.0,26.400000000000002,2.2,395551.2,10976.545800000002,21425.690000000006
463,56129.0,28064.5,19.8,1.6500000000000001,555677.1,15420.039525000002,30099.176250000004
465,101760.0,50880.0,39.6,3.3000000000000003,2014848.0,55912.03200000001,109137.6
